src,dst,add_st,mul_st
1,2,1.0,1.3333333333333333
1,3,1.0,1.5
1,4,1.0,1.3333333333333333
1,5,1.0,1.3333333333333333
1,6,1.0,1.3333333333333333
1,7,2.0,2.0
1,8,1.0,1.25
1,9,1.0,1.3333333333333333
1,10,2.0,1.6666666666666667
1,11,1.0,1.3333333333333333
1,12,0.0,1.0
1,13,0.0,1.0
1,14,1.0,1.3333333333333333
1,15,0.0,1.0
1,16,2.0,2.0
1,17,2.0,1.6666666666666667
1,18,1.0,1.25
1,19,1.0,1.3333333333333333
1,20,0.0,1.0
1,21,2.0,1.6666666666666667
1,22,-1.0,0.8
1,23,1.0,1.25
2,1,1.0,1.3333333333333333
2,3,-1.0,0.75
2,4,1.0,1.5
2,5,0.0,1.0
2,6,1.0,1.3333333333333333
2,7,2.0,2.0
2,8,-1.0,0.8
2,9,0.0,1.0
2,10,1.0,1.3333333333333333
2,11,0.0,1.0
2,12,2.0,2.0
2,13,2.0,2.0
2,14,1.0,1.3333333333333333
2,15,-2.0,0.6
2,16,1.0,1.3333333333333333
2,17,1.0,1.3333333333333333
2,18,2.0,2.0
2,19,1.0,1.3333333333333333
2,20,0.0,1.0
2,21,2.0,1.6666666666666667
2,22,1.0,1.3333333333333333
2,23,2.0,2.0
3,1,1.0,1.5
3,2,-1.0,0.75
3,4,0.0,1.0
3,5,-1.0,0.75
3,6,-1.0,0.75
3,7,1.0,1.3333333333333333
3,8,-1.0,0.8
3,9,0.0,1.0
3,10,2.0,2.0
3,11,1.0,1.5
3,12,1.0,1.3333333333333333
3,13,1.0,1.3333333333333333
3,14,1.0,1.5
3,15,-1.0,0.8
3,16,1.0,1.3333333333333333
3,17,1.0,1.3333333333333333
3,18,1.0,1.3333333333333333
3,19,0.0,1.0
3,20,0.0,1.0
3,21,2.0,2.0
3,22,-1.0,0.75
3,23,0.0,1.0
4,1,1.0,1.3333333333333333
4,2,1.0,1.5
4,3,0.0,1.0
4,5,0.0,1.0
4,6,0.0,1.0
4,7,1.0,1.3333333333333333
4,8,1.0,1.25
4,9,1.0,1.3333333333333333
4,10,1.0,1.3333333333333333
4,11,0.0,1.0
4,12,1.0,1.3333333333333333
4,13,0.0,1.0
4,14,0.0,1.0
4,15,0.0,1.0
4,16,2.0,2.0
4,17,0.0,1.0
4,18,2.0,1.6666666666666667
4,19,0.0,1.0
4,20,-1.0,0.8
4,21,0.0,1.0
4,22,0.0,1.0
4,23,2.0,1.6666666666666667
5,1,1.0,1.3333333333333333
5,2,0.0,1.0
5,3,-1.0,0.75
5,4,0.0,1.0
5,6,-1.0,0.8
5,7,0.0,1.0
5,8,2.0,2.0
5,9,2.0,1.6666666666666667
5,10,1.0,1.3333333333333333
5,11,0.0,1.0
5,12,0.0,1.0
5,13,-1.0,0.8
5,14,-1.0,0.8
5,15,0.0,1.0
5,16,2.0,2.0
5,17,0.0,1.0
5,18,-1.0,0.8
5,19,-1.0,0.8
5,20,-1.0,0.8
5,21,0.0,1.0
5,22,-1.0,0.8
5,23,-1.0,0.8
6,1,1.0,1.3333333333333333
6,2,1.0,1.3333333333333333
6,3,-1.0,0.75
6,4,0.0,1.0
6,5,-1.0,0.8
6,7,2.0,2.0
6,8,-1.0,0.8333333333333334
6,9,-1.0,0.8
6,10,0.0,1.0
6,11,-1.0,0.8
6,12,0.0,1.0
6,13,1.0,1.3333333333333333
6,14,0.0,1.0
6,15,-2.0,0.6
6,16,0.0,1.0
6,17,1.0,1.3333333333333333
6,18,0.0,1.0
6,19,2.0,2.0
6,20,0.0,1.0
6,21,2.0,1.6666666666666667
6,22,-1.0,0.8
6,23,1.0,1.25
7,1,2.0,2.0
7,2,2.0,2.0
7,3,1.0,1.3333333333333333
7,4,1.0,1.3333333333333333
7,5,0.0,1.0
7,6,2.0,2.0
7,8,-1.0,0.8
7,9,1.0,1.25
7,10,1.0,1.3333333333333333
7,11,0.0,1.0
7,12,0.0,1.0
7,13,1.0,1.3333333333333333
7,14,0.0,1.0
7,15,0.0,1.0
7,16,1.0,1.3333333333333333
7,17,2.0,2.0
7,18,1.0,1.3333333333333333
7,19,2.0,2.0
7,20,1.0,1.3333333333333333
7,21,3.0,2.5
7,22,0.0,1.0
7,23,2.0,1.6666666666666667
8,1,0.0,1.0
8,2,-1.0,0.8
8,3,-2.0,0.6
8,4,0.0,1.0
8,5,2.0,2.0
8,6,-2.0,0.6666666666666666
8,7,-1.0,0.8
8,9,2.0,2.0
8,10,0.0,1.0
8,11,0.0,1.0
8,12,-1.0,0.8
8,13,-2.0,0.6666666666666666
8,14,-1.0,0.8333333333333334
8,15,1.0,1.3333333333333333
8,16,1.0,1.3333333333333333
8,17,0.0,1.0
8,18,-1.0,0.8333333333333334
8,19,-2.0,0.6666666666666666
8,20,0.0,1.0
8,21,-1.0,0.8333333333333334
8,22,0.0,1.0
8,23,-1.0,0.8333333333333334
9,1,1.0,1.3333333333333333
9,2,0.0,1.0
9,3,-1.0,0.75
9,4,1.0,1.3333333333333333
9,5,1.0,1.3333333333333333
9,6,-1.0,0.8
9,7,0.0,1.0
9,8,2.0,2.0
9,10,1.0,1.3333333333333333
9,11,1.0,1.25
9,12,0.0,1.0
9,13,-1.0,0.8
9,14,0.0,1.0
9,15,2.0,2.0
9,16,3.0,2.5
9,17,1.0,1.25
9,18,0.0,1.0
9,19,-1.0,0.8
9,20,1.0,1.3333333333333333
9,21,0.0,1.0
9,22,1.0,1.25
9,23,-1.0,0.8
10,1,1.0,1.3333333333333333
10,2,1.0,1.3333333333333333
10,3,1.0,1.5
10,4,1.0,1.3333333333333333
10,5,1.0,1.3333333333333333
10,6,0.0,1.0
10,7,1.0,1.3333333333333333
10,8,0.0,1.0
10,9,1.0,1.3333333333333333
10,11,1.0,1.5
10,12,2.0,2.0
10,13,1.0,1.3333333333333333
10,14,2.0,1.6666666666666667
10,15,0.0,1.0
10,16,3.0,2.5
10,17,3.0,2.5
10,18,0.0,1.0
10,19,0.0,1.0
10,20,1.0,1.3333333333333333
10,21,2.0,1.6666666666666667
10,22,2.0,1.6666666666666667
10,23,1.0,1.3333333333333333
11,1,1.0,1.3333333333333333
11,2,-1.0,0.75
11,3,1.0,1.5
11,4,0.0,1.0
11,5,0.0,1.0
11,6,-1.0,0.8
11,7,0.0,1.0
11,8,0.0,1.0
11,9,1.0,1.25
11,10,1.0,1.5
11,12,1.0,1.3333333333333333
11,13,0.0,1.0
11,14,0.0,1.0
11,15,-1.0,0.8
11,16,0.0,1.0
11,17,1.0,1.3333333333333333
11,18,1.0,1.25
11,19,-1.0,0.8
11,20,0.0,1.0
11,21,1.0,1.3333333333333333
11,22,0.0,1.0
11,23,0.0,1.0
12,1,-1.0,0.75
12,2,2.0,2.0
12,3,0.0,1.0
12,4,1.0,1.3333333333333333
12,5,0.0,1.0
12,6,0.0,1.0
12,7,0.0,1.0
12,8,-1.0,0.8
12,9,0.0,1.0
12,10,2.0,2.0
12,11,1.0,1.3333333333333333
12,13,1.0,1.3333333333333333
12,14,0.0,1.0
12,15,0.0,1.0
12,16,1.0,1.3333333333333333
12,17,1.0,1.3333333333333333
12,18,1.0,1.3333333333333333
12,19,0.0,1.0
12,20,1.0,1.3333333333333333
12,21,1.0,1.25
12,22,2.0,2.0
12,23,2.0,1.6666666666666667
13,1,0.0,1.0
13,2,1.0,1.5
13,3,1.0,1.3333333333333333
13,4,0.0,1.0
13,5,-2.0,0.6
13,6,1.0,1.3333333333333333
